Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
1;Quader;2;8;10;32.02992
1;Quader;2;8;10;52.22987
1;Quader;2;8;10;98.925456
1;Quader;2;8;10;83.705076
1;Quader;2;8;10;60.362484
1;Quader;2;8;10;46.009278
1;Quader;2;8;10;5.89176
1;Quader;2;8;10;26.948096
1;Quader;2;8;10;33.792066
1;Quader;2;8;10;45.395712
1;Quader;2;8;10;50.4594
1;Quader;2;8;10;53.510072
1;Quader;2;8;10;55.019952
1;Quader;2;8;10;56.496882
1;Quader;2;8;10;56.786964
1;Quader;2;8;10;57.05154
1;Quader;2;8;10;57.619692
1;Quader;2;8;10;57.19896
1;Quader;2;8;10;57.17439
1;Quader;2;8;10;57.438498
1;Quader;2;8;10;57.07611
1;Quader;2;8;10;56.5719
1;Quader;2;8;10;56.750925
1;Quader;2;8;10;57.12525
1;Quader;2;8;10;56.992884
1;Quader;2;8;10;56.489895
1;Quader;2;8;10;56.620564
1;Quader;2;8;10;56.669228
1;Quader;2;8;10;54.96548
1;Quader;2;8;10;55.24896
1;Quader;2;8;10;18.67131
1;Quader;2;8;10;2.44992
2;Quader;2;125;10;25.807184
2;Quader;2;125;10;84.035644
2;Quader;2;125;10;98.317318
2;Quader;2;125;10;68.115696
2;Quader;2;125;10;56.312256
2;Quader;2;125;10;52.7292
2;Quader;2;125;10;50.510624
2;Quader;2;125;10;49.176012
2;Quader;2;125;10;48.004056
2;Quader;2;125;10;47.837952
2;Quader;2;125;10;47.671848
2;Quader;2;125;10;47.505744
2;Quader;2;125;10;47.609856
2;Quader;2;125;10;40.127472
2;Quader;2;125;10;5.663385
2;Quader;2;125;10;20.745816
2;Quader;2;125;10;20.651001
2;Quader;2;125;10;23.242752
2;Quader;2;125;10;29.38628
2;Quader;2;125;10;34.111036
2;Quader;2;125;10;35.43876
2;Quader;2;125;10;36.64
2;Quader;2;125;10;45.532152
2;Quader;2;125;10;50.3614
2;Quader;2;125;10;52.255665
2;Quader;2;125;10;53.228406
2;Quader;2;125;10;54.45531
2;Quader;2;125;10;54.098226
2;Quader;2;125;10;54.134496
2;Quader;2;125;10;54.41904
2;Quader;2;125;10;55.020024
2;Quader;2;125;10;54.28878
